run_name,seed,hidden_sizes,activation,dropout,use_bn,bn_position,lr,scheduler,step_size,gamma,tmax,weight_decay,l1_lambda,batch_size,epochs,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc_so_far,best_epoch_so_far,lr_current,test_acc,test_per_class
F5_l1_1e-6,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0,1e-06,64,10,1,0.3063690708398819,0.9167666666666666,0.10601122356504201,0.9675,0.9675,1,0.001,,
F5_l1_1e-6,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0,1e-06,64,10,2,0.1614946880578995,0.9556166666666667,0.08143237917479128,0.9747,0.9747,2,0.001,,
F5_l1_1e-6,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0,1e-06,64,10,3,0.13772589157223702,0.9636166666666667,0.07536415705271066,0.9776,0.9776,3,0.001,,
F5_l1_1e-6,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0,1e-06,64,10,4,0.12144865433573723,0.9692666666666667,0.06321222122916952,0.9807,0.9807,4,0.001,,
F5_l1_1e-6,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0,1e-06,64,10,5,0.1112468786696593,0.9723333333333334,0.05779966970616952,0.9812,0.9812,5,0.001,,
F5_l1_1e-6,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0,1e-06,64,10,6,0.08934310299754143,0.9789666666666667,0.05332789396066218,0.9835,0.9835,6,0.0005,,
F5_l1_1e-6,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0,1e-06,64,10,7,0.08161608671943346,0.9813833333333334,0.05239062207019888,0.984,0.984,7,0.0005,,
F5_l1_1e-6,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0,1e-06,64,10,8,0.07520856329600016,0.9830833333333333,0.053330955578992145,0.9838,0.984,7,0.0005,,
F5_l1_1e-6,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0,1e-06,64,10,9,0.07384831093351046,0.9837166666666667,0.0502005583238788,0.984,0.984,7,0.0005,,
F5_l1_1e-6,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0,1e-06,64,10,10,0.07047967387636503,0.9854166666666667,0.05166528897697572,0.9827,0.984,7,0.0005,,
F5_l1_1e-6,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0,1e-06,64,10,-1,,,,,,,,0.984,"0.991837,0.993833,0.984496,0.989109,0.968432,0.983184,0.986430,0.984436,0.979466,0.977205"
