run_name,seed,hidden_sizes,activation,dropout,use_bn,bn_position,lr,scheduler,step_size,gamma,tmax,weight_decay,l1_lambda,batch_size,epochs,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc_so_far,best_epoch_so_far,lr_current,test_acc,test_per_class
A5_depth3_w128,42,"128,128,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,1,0.40254889236291247,0.88525,0.13443445919305086,0.9583,0.9583,1,0.001,,
A5_depth3_w128,42,"128,128,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,2,0.2206230293035507,0.9342166666666667,0.10216295264735818,0.9682,0.9682,2,0.001,,
A5_depth3_w128,42,"128,128,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,3,0.18342017773985864,0.9444833333333333,0.089828320363909,0.9726,0.9726,3,0.001,,
A5_depth3_w128,42,"128,128,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,4,0.1646937640806039,0.9506833333333333,0.07694782198034227,0.9763,0.9763,4,0.001,,
A5_depth3_w128,42,"128,128,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,5,0.14821635176738104,0.9552166666666667,0.07401367099713534,0.9758,0.9763,4,0.001,,
A5_depth3_w128,42,"128,128,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,6,0.12078577737013499,0.9640666666666666,0.06493421791587024,0.9789,0.9789,6,0.0005,,
A5_depth3_w128,42,"128,128,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,7,0.1133304019411405,0.9650166666666666,0.06305049472823739,0.9805,0.9805,7,0.0005,,
A5_depth3_w128,42,"128,128,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,8,0.10929551333288352,0.9667666666666667,0.0623350365399383,0.9809,0.9809,8,0.0005,,
A5_depth3_w128,42,"128,128,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,9,0.10549037648240725,0.9684,0.06252459105653688,0.9805,0.9809,8,0.0005,,
A5_depth3_w128,42,"128,128,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,10,0.09900041937480371,0.9694166666666667,0.05920253674546257,0.9818,0.9818,10,0.0005,,
A5_depth3_w128,42,"128,128,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,-1,,,,,,,,0.9818,"0.990816,0.994714,0.979651,0.990099,0.980652,0.973094,0.983299,0.979572,0.976386,0.967294"
