run_name,seed,hidden_sizes,activation,dropout,use_bn,bn_position,lr,scheduler,step_size,gamma,tmax,weight_decay,l1_lambda,batch_size,epochs,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc_so_far,best_epoch_so_far,lr_current,test_acc,test_per_class
A4_depth4_w256,42,"256,256,256,256",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,1,0.34228440480232236,0.8984333333333333,0.1172290849044919,0.9651,0.9651,1,0.001,,
A4_depth4_w256,42,"256,256,256,256",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,2,0.18835151631832123,0.9440166666666666,0.09102175467461347,0.9706,0.9706,2,0.001,,
A4_depth4_w256,42,"256,256,256,256",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,3,0.15605415657162666,0.9537833333333333,0.07782686919383705,0.9764,0.9764,3,0.001,,
A4_depth4_w256,42,"256,256,256,256",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,4,0.13883418196837108,0.9579,0.07662787961876019,0.9757,0.9764,3,0.001,,
A4_depth4_w256,42,"256,256,256,256",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,5,0.12154749983251095,0.9629666666666666,0.06733374161981046,0.9789,0.9789,5,0.001,,
A4_depth4_w256,42,"256,256,256,256",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,6,0.09678225809137027,0.9712333333333333,0.05445954496748746,0.983,0.983,6,0.0005,,
A4_depth4_w256,42,"256,256,256,256",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,7,0.08489541513373454,0.9743833333333334,0.057049217984452845,0.9831,0.9831,7,0.0005,,
A4_depth4_w256,42,"256,256,256,256",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,8,0.08231333881219229,0.9754666666666667,0.05731619367506355,0.9827,0.9831,7,0.0005,,
A4_depth4_w256,42,"256,256,256,256",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,9,0.07749329323197404,0.9762333333333333,0.05624281232832,0.9836,0.9836,9,0.0005,,
A4_depth4_w256,42,"256,256,256,256",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,10,0.0746309270804127,0.9768166666666667,0.051398873142478985,0.9846,0.9846,10,0.0005,,
A4_depth4_w256,42,"256,256,256,256",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,-1,,,,,,,,0.9846,"0.991837,0.992070,0.980620,0.986139,0.986762,0.983184,0.981211,0.986381,0.979466,0.977205"
