run_name,seed,hidden_sizes,activation,dropout,use_bn,bn_position,lr,scheduler,step_size,gamma,tmax,weight_decay,l1_lambda,batch_size,epochs,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc_so_far,best_epoch_so_far,lr_current,test_acc,test_per_class
F4_l2_1e-3,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.001,0.0,64,10,1,0.3005711576223373,0.9155166666666666,0.11346695192009211,0.9654,0.9654,1,0.001,,
F4_l2_1e-3,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.001,0.0,64,10,2,0.16616433868606886,0.9511166666666667,0.09945878067016602,0.971,0.971,2,0.001,,
F4_l2_1e-3,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.001,0.0,64,10,3,0.15205696714321773,0.9554666666666667,0.09181471514105796,0.9721,0.9721,3,0.001,,
F4_l2_1e-3,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.001,0.0,64,10,4,0.14460307006835937,0.9576333333333333,0.08494443542510272,0.9753,0.9753,4,0.001,,
F4_l2_1e-3,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.001,0.0,64,10,5,0.1396734419842561,0.95905,0.08107847941070795,0.9759,0.9759,5,0.001,,
F4_l2_1e-3,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.001,0.0,64,10,6,0.10421851390898228,0.9704,0.06334889021664858,0.982,0.982,6,0.0005,,
F4_l2_1e-3,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.001,0.0,64,10,7,0.09696343717177709,0.9715833333333334,0.06152573623098433,0.9819,0.982,6,0.0005,,
F4_l2_1e-3,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.001,0.0,64,10,8,0.09382244680225849,0.9724833333333334,0.059477837700024246,0.9807,0.982,6,0.0005,,
F4_l2_1e-3,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.001,0.0,64,10,9,0.09321361422936121,0.9731833333333333,0.060342980843409895,0.9816,0.982,6,0.0005,,
F4_l2_1e-3,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.001,0.0,64,10,10,0.08948943682909012,0.9738166666666667,0.060126399630866946,0.9822,0.9822,10,0.0005,,
F4_l2_1e-3,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.001,0.0,64,10,-1,,,,,,,,0.9822,"0.994898,0.990308,0.993217,0.984158,0.968432,0.979821,0.985386,0.978599,0.974333,0.971259"
