run_name,seed,hidden_sizes,activation,dropout,use_bn,bn_position,lr,scheduler,step_size,gamma,tmax,weight_decay,l1_lambda,batch_size,epochs,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc_so_far,best_epoch_so_far,lr_current,test_acc,test_per_class
C4_drop_0p5,42,"512,256,128",relu,0.5,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,1,0.428384476172924,0.8788666666666667,0.13034900905787944,0.9613,0.9613,1,0.001,,
C4_drop_0p5,42,"512,256,128",relu,0.5,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,2,0.22852278028726578,0.9342666666666667,0.09976982401385903,0.9693,0.9693,2,0.001,,
C4_drop_0p5,42,"512,256,128",relu,0.5,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,3,0.1932081630706787,0.9444,0.08816978301666677,0.9732,0.9732,3,0.001,,
C4_drop_0p5,42,"512,256,128",relu,0.5,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,4,0.17033183658520382,0.9502,0.08307796910069883,0.9747,0.9747,4,0.001,,
C4_drop_0p5,42,"512,256,128",relu,0.5,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,5,0.15856170197526614,0.9537333333333333,0.07369247867316008,0.9769,0.9769,5,0.001,,
C4_drop_0p5,42,"512,256,128",relu,0.5,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,6,0.12905489524801572,0.9623166666666667,0.06611756743956357,0.9799,0.9799,6,0.0005,,
C4_drop_0p5,42,"512,256,128",relu,0.5,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,7,0.12004329770803451,0.96565,0.06197531857877039,0.9813,0.9813,7,0.0005,,
C4_drop_0p5,42,"512,256,128",relu,0.5,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,8,0.1099770838568608,0.9679,0.05569641590313986,0.983,0.983,8,0.0005,,
C4_drop_0p5,42,"512,256,128",relu,0.5,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,9,0.10545756907363733,0.9693833333333334,0.056742218890506776,0.9824,0.983,8,0.0005,,
C4_drop_0p5,42,"512,256,128",relu,0.5,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,10,0.10182243837614854,0.9698333333333333,0.05632310623195954,0.9823,0.983,8,0.0005,,
C4_drop_0p5,42,"512,256,128",relu,0.5,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,-1,,,,,,,,0.983,"0.991837,0.992952,0.987403,0.985149,0.977597,0.980942,0.984342,0.974708,0.979466,0.974232"
