run_name,seed,hidden_sizes,activation,dropout,use_bn,bn_position,lr,scheduler,step_size,gamma,tmax,weight_decay,l1_lambda,batch_size,epochs,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc_so_far,best_epoch_so_far,lr_current,test_acc,test_per_class
A1_depth1_w256,42,256,relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,1,0.2664980272213618,0.9236833333333333,0.12731232897341252,0.9628,0.9628,1,0.001,,
A1_depth1_w256,42,256,relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,2,0.1466158394376437,0.9565166666666667,0.0983995162241161,0.9692,0.9692,2,0.001,,
A1_depth1_w256,42,256,relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,3,0.11692408746480942,0.9645666666666667,0.08435959878638387,0.9753,0.9753,3,0.001,,
A1_depth1_w256,42,256,relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,4,0.09959570094545682,0.9695,0.07571054661348463,0.9769,0.9769,4,0.001,,
A1_depth1_w256,42,256,relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,5,0.08650959258278211,0.97435,0.07389115857630968,0.9765,0.9769,4,0.001,,
A1_depth1_w256,42,256,relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,6,0.06860019180774689,0.9796666666666667,0.06232885743230581,0.9804,0.9804,6,0.0005,,
A1_depth1_w256,42,256,relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,7,0.06282261983106534,0.9811333333333333,0.06212294910144992,0.9807,0.9807,7,0.0005,,
A1_depth1_w256,42,256,relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,8,0.05934086194286744,0.9818833333333333,0.06125612485925667,0.9802,0.9807,7,0.0005,,
A1_depth1_w256,42,256,relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,9,0.05654473413527012,0.9830833333333333,0.05955707664955407,0.9825,0.9825,9,0.0005,,
A1_depth1_w256,42,256,relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,10,0.05628766314436992,0.9828333333333333,0.06123336596351583,0.9809,0.9825,9,0.0005,,
A1_depth1_w256,42,256,relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,-1,,,,,,,,0.9825,"0.989796,0.992070,0.983527,0.980198,0.984725,0.989910,0.983299,0.975681,0.971253,0.974232"
